Hour_Ending_Naive,Coast
2008-07-01 00:00:00,11382.287899999998
2008-07-01 01:00:00,10233.975699391778
2008-07-01 02:00:00,9656.662103776756
2008-07-01 03:00:00,9253.200129331975
2008-07-01 04:00:00,9018.471791510136
2008-07-01 05:00:00,9001.706611688474
2008-07-01 06:00:00,9367.267437311037
2008-07-01 07:00:00,9749.104628106164
2008-07-01 08:00:00,10070.119257884711
2008-07-01 09:00:00,10561.62669577759
2008-07-01 10:00:00,11338.981089085251
2008-07-01 11:00:00,12078.403420874312
2008-07-01 12:00:00,12741.49232649475
2008-07-01 13:00:00,13387.616716771196
2008-07-01 14:00:00,13995.386078880738
2008-07-01 15:00:00,14487.503122400976
2008-07-01 16:00:00,14694.523489182906
2008-07-01 17:00:00,14791.68924986033
2008-07-01 18:00:00,14634.486314509995
2008-07-01 19:00:00,13974.922314940985
2008-07-01 20:00:00,13414.883376468271
2008-07-01 21:00:00,13182.191230853798
2008-07-01 22:00:00,12874.909419427748
2008-07-01 23:00:00,12001.311533690205
2008-07-02 00:00:00,10983.243200000004
2008-07-02 01:00:00,10136.202187838531
2008-07-02 02:00:00,9587.351573247186
2008-07-02 03:00:00,9196.644844440336
2008-07-02 04:00:00,8963.11564037102
2008-07-02 05:00:00,8976.85133698736
2008-07-02 06:00:00,9381.01470642227
2008-07-02 07:00:00,9754.838580660964
2008-07-02 08:00:00,10062.323577338502
2008-07-02 09:00:00,10653.82169173792
2008-07-02 10:00:00,11547.138402275705
2008-07-02 11:00:00,12237.84972487483
2008-07-02 12:00:00,13021.314273899305
2008-07-02 13:00:00,13594.585256192857
2008-07-02 14:00:00,13962.902159308149
2008-07-02 15:00:00,14116.93393580392
2008-07-02 16:00:00,14324.794223404664
2008-07-02 17:00:00,14636.661431754668
2008-07-02 18:00:00,14630.373291624755
2008-07-02 19:00:00,14174.892231354064
2008-07-02 20:00:00,13672.005252201112
2008-07-02 21:00:00,13327.288530750158
2008-07-02 22:00:00,12962.075232618796
2008-07-02 23:00:00,12050.78969904745
2008-07-03 00:00:00,11047.633000000002
2008-07-03 01:00:00,9986.66177277424
2008-07-03 02:00:00,9384.638858145823
2008-07-03 03:00:00,9183.062366897231
2008-07-03 04:00:00,8950.62521840219
2008-07-03 05:00:00,8848.344361740936
2008-07-03 06:00:00,9151.26000838269
2008-07-03 07:00:00,9589.62390652046
2008-07-03 08:00:00,9985.817824332367
2008-07-03 09:00:00,10761.266458348353
2008-07-03 10:00:00,11648.67756371328
2008-07-03 11:00:00,12458.805312295077
2008-07-03 12:00:00,13384.73089835553
2008-07-03 13:00:00,14106.4702727902
2008-07-03 14:00:00,14731.726900519252
2008-07-03 15:00:00,15198.921313495388
2008-07-03 16:00:00,15361.75519568112
2008-07-03 17:00:00,15398.668998654985
2008-07-03 18:00:00,15066.095397696028
2008-07-03 19:00:00,14365.63297170677
2008-07-03 20:00:00,13677.138672831985
2008-07-03 21:00:00,13330.965743547278
2008-07-03 22:00:00,13004.64721138215
2008-07-03 23:00:00,12164.60367729376
2008-07-04 00:00:00,11110.7399
2008-07-04 01:00:00,9942.981459534742
2008-07-04 02:00:00,9403.158748912478
2008-07-04 03:00:00,9037.004250449418
2008-07-04 04:00:00,8836.097385169938
2008-07-04 05:00:00,8804.613993609391
2008-07-04 06:00:00,8858.876506735278
2008-07-04 07:00:00,8947.87765535389
2008-07-04 08:00:00,9043.667560607297
2008-07-04 09:00:00,9540.768607249343
2008-07-04 10:00:00,10364.95420812546
2008-07-04 11:00:00,11007.772978649238
2008-07-04 12:00:00,11546.96402574029
2008-07-04 13:00:00,11925.237962745956
2008-07-04 14:00:00,11912.794033079976
2008-07-04 15:00:00,11892.714609934575
2008-07-04 16:00:00,12081.0530383125
2008-07-04 17:00:00,12185.659662310622
2008-07-04 18:00:00,12315.029093125944
2008-07-04 19:00:00,11970.402371856517
2008-07-04 20:00:00,11487.662838122367
2008-07-04 21:00:00,11281.69905527231
2008-07-04 22:00:00,10954.332291169538
2008-07-04 23:00:00,10489.82541881189
2008-07-05 00:00:00,10035.793700000002
2008-07-05 01:00:00,9622.038048685194
2008-07-05 02:00:00,9132.433534140067
2008-07-05 03:00:00,8867.343750288295
2008-07-05 04:00:00,8680.48579390797
2008-07-05 05:00:00,8515.893778832275
2008-07-05 06:00:00,8542.281599547765
2008-07-05 07:00:00,8637.040900667793
2008-07-05 08:00:00,8818.04212423955
2008-07-05 09:00:00,9467.164185957135
2008-07-05 10:00:00,10300.936697103498
2008-07-05 11:00:00,11062.50852628807
2008-07-05 12:00:00,11789.521321985983
2008-07-05 13:00:00,12286.465806638107
2008-07-05 14:00:00,12648.34964302494
2008-07-05 15:00:00,12738.89865390854
2008-07-05 16:00:00,12822.810316079913
2008-07-05 17:00:00,12945.68929165911
2008-07-05 18:00:00,12906.456729341884
2008-07-05 19:00:00,12641.734901593409
2008-07-05 20:00:00,12317.757610518638
2008-07-05 21:00:00,12018.056570640429
2008-07-05 22:00:00,11920.932787573867
2008-07-05 23:00:00,11219.788962611188
